SubID,Project,LongID,Transcriptions,Date Tested,Date of Birth,Age,Gender
Booklet1-001,512yoC,NA,0,5/6/12,6/26/00,11.86036961,F
Booklet1-002,512yoC,NA,0,5/6/12,12/31/02,9.347022587,M
Booklet1-003,512yoC,NA,0,4/21/11,4/19/03,8.005475702,F
Booklet1-004,512yoC,NA,0,8/17/11,1/18/04,7.578370979,F
Booklet1-005,512yoC,NA,0,4/19/12,12/13/03,8.350444901,F
Booklet1-006,512yoC,NA,0,4/19/12,11/5/99,12.45448323,M
Booklet1-007,512yoC,Booklet2-030,0,2/27/11,10/4/02,8.399726215,M
Booklet1-008,512yoC,NA,0,4/19/11,3/17/05,6.088980151,M
Booklet1-009,512yoC,NA,0,2/26/11,2/8/02,9.048596851,F
Booklet1-010,512yoC,NA,0,3/6/11,10/19/03,7.378507871,M
Booklet1-011,512yoC,Booklet2-031,0,3/6/11,1/23/01,10.11362081,M
Booklet1-012,512yoC,Booklet2-032,0,3/6/11,12/14/04,6.223134839,F
Booklet1-013,512yoC,NA,0,5/8/11,6/24/03,7.871321013,M
Booklet1-014,512yoC,NA,0,4/22/11,8/6/03,7.709787817,M
Booklet1-015,512yoC,NA,0,6/5/11,4/3/06,5.171800137,M
Booklet1-016,512yoC,NA,0,7/11/09,7/23/02,6.967830253,M
Booklet1-017,512yoC,NA,0,4/20/11,5/8/03,7.950718686,M
Booklet1-018,512yoC,Booklet2-033,0,5/8/11,6/5/03,7.923340178,M
Booklet1-019,512yoC,Booklet2-034,0,5/8/11,4/25/05,6.034223135,M
Booklet1-020,512yoC,Booklet2-035,0,5/7/11,7/11/01,9.820670773,M
Booklet1-021,512yoC,Booklet2-036,0,5/7/11,11/5/03,7.501711157,F
Booklet1-022,512yoC,NA,0,7/10/11,3/10/05,6.332648871,M
Booklet1-023,512yoC,Booklet2-037,0,6/4/11,11/26/03,7.520876112,M
Booklet1-024,512yoC,NA,0,6/12/11,3/23/04,7.219712526,F
Booklet1-025,512yoC,Booklet2-038,0,6/12/11,1/28/04,7.370294319,F
Booklet1-026,512yoC,NA,0,7/9/11,5/19/01,10.13826146,M
Booklet1-027,512yoC,NA,0,7/11/09,8/25/02,6.877481177,M
Booklet1-028,512yoC,NA,0,7/9/11,7/22/02,8.963723477,M
Booklet1-029,512yoC,Booklet2-039,0,7/10/11,2/10/02,9.409993155,M
Booklet1-030,512yoC,NA,0,7/10/11,10/3/03,7.767282683,M
Booklet1-031,512yoC,NA,0,8/9/11,3/4/05,6.431211499,M
Booklet1-032,512yoC,NA,0,10/8/11,7/20/01,10.21765914,M
Booklet1-033,512yoC,NA,0,7/26/11,8/17/01,9.938398357,F
Booklet1-034,512yoC,NA,0,7/27/11,7/11/99,12.04380561,M
Booklet1-035,512yoC,NA,0,4/9/11,12/14/04,6.316221766,M
Booklet1-036,512yoC,NA,0,8/14/11,8/24/00,10.9705681,M
Booklet1-037,512yoC,Booklet2-040,0,8/14/11,1/5/04,7.605749487,M
Booklet1-038,512yoC,Booklet2-041,0,8/14/11,1/5/04,7.605749487,M
Booklet1-039,512yoC,NA,0,8/13/11,6/19/03,8.150581793,M
Booklet1-040,512yoC,NA,0,8/13/11,11/14/02,8.744695414,M
Booklet1-041,512yoC,NA,0,8/16/11,9/20/99,11.90417522,M
Booklet1-042,512yoC,NA,0,8/16/11,3/10/02,9.434633812,M
Booklet1-043,512yoC,NA,0,8/16/11,11/11/00,10.75975359,F
Booklet1-044,512yoC,NA,0,8/8/09,8/25/00,8.952772074,F
Booklet1-045,512yoC,NA,0,9/11/11,2/25/02,9.541409993,M
Booklet1-046,512yoC,Booklet2-042,0,9/11/11,9/24/01,9.963039014,M
Booklet1-047,512yoC,Booklet2-043,0,9/11/11,12/22/03,7.72073922,M
Booklet1-048,512yoC,NA,0,12/10/11,8/17/03,8.314852841,M
Booklet1-049,512yoC,Booklet2-044,0,11/6/11,10/5/03,8.087611225,M
Booklet1-050,512yoC,Booklet2-045,0,11/6/11,10/25/05,6.031485284,M
Booklet1-051,512yoC,NA,0,10/9/11,12/22/04,6.795345654,M
Booklet1-052,512yoC,NA,0,9/10/11,11/26/03,7.789185489,M
Booklet1-053,512yoC,NA,0,12/10/11,2/22/03,8.796714579,F
Booklet1-054,512yoC,NA,0,10/9/11,12/23/03,7.794661191,M
Booklet1-055,512yoC,NA,0,8/8/09,10/24/98,10.78986995,F
Booklet1-056,512yoC,NA,0,11/5/11,1/3/03,8.837782341,M
Booklet1-057,512yoC,NA,0,1/19/13,7/2/02,10.55167693,M
Booklet1-058,512yoC,NA,0,1/19/13,7/2/02,10.55167693,M
Booklet1-059,512yoC,NA,0,12/10/11,2/28/01,10.77891855,M
Booklet1-060,512yoC,NA,0,1/28/12,7/8/05,6.557152635,F
Booklet1-061,512yoC,NA,0,1/29/12,1/4/01,11.06639288,M
Booklet1-062,512yoC,NA,0,12/11/11,12/26/03,7.958932238,M
Booklet1-063,512yoC,Booklet2-046,0,8/25/09,4/8/04,5.379876797,F
Booklet1-064,512yoC,NA,0,2/26/12,2/9/00,12.04654346,M
Booklet1-065,512yoC,NA,0,3/4/12,10/17/01,10.37919233,M
Booklet1-066,512yoC,Booklet2-047,0,2/25/12,5/29/06,5.744010951,M
Booklet1-067,512yoC,NA,0,3/3/12,9/29/02,9.42642026,M
Booklet1-068,512yoC,NA,0,3/3/12,3/31/04,7.923340178,M
Booklet1-069,512yoC,NA,0,4/28/12,10/14/04,7.537303217,F
Booklet1-070,512yoC,NA,0,6/11/12,1/9/00,12.42162902,M
Booklet1-071,512yoC,NA,0,6/11/12,1/9/00,12.42162902,M
Booklet1-072,512yoC,NA,0,8/25/09,6/19/01,8.183436003,M
Booklet1-073,512yoC,NA,0,4/29/12,11/28/01,10.41752225,M
Booklet1-074,512yoC,NA,0,4/17/12,6/6/99,12.86516085,M
Booklet1-075,512yoC,NA,0,4/28/12,6/21/02,9.853524983,F
Booklet1-076,512yoC,NA,0,5/6/12,4/5/06,6.0862423,F
Booklet1-077,512yoC,NA,0,6/10/12,10/3/06,5.686516085,M
Booklet1-078,512yoC,NA,0,6/10/12,10/2/04,7.68788501,M
Booklet1-079,512yoC,NA,0,6/10/12,11/18/03,8.561259411,M
Booklet1-080,512yoC,NA,0,6/15/12,12/12/02,9.508555784,M
Booklet1-081,512yoC,NA,0,7/13/12,12/6/99,12.60232717,M
Booklet1-082,512yoC,NA,0,6/29/12,9/14/04,7.789185489,M
Booklet1-083,512yoC,NA,0,7/21/12,2/10/01,11.44147844,M
Booklet1-084,512yoC,NA,0,8/4/12,5/27/04,8.188911704,M
Booklet1-085,512yoC,NA,0,10/20/12,10/9/05,7.030800821,M
Booklet1-086,512yoC,NA,0,10/20/12,5/22/03,9.415468857,M
Booklet1-087,512yoC,NA,0,7/21/12,12/15/03,8.599589322,M
Booklet1-088,512yoC,NA,0,7/21/12,9/10/02,9.861738535,M
Booklet1-089,512yoC,NA,0,7/24/12,7/29/02,9.987679671,M
Booklet1-090,512yoC,NA,0,11/3/12,11/19/01,10.95687885,M
Booklet1-091,512yoC,Booklet2-048,0,11/11/09,4/16/04,5.571526352,F
Booklet1-092,512yoC,NA,0,8/12/12,5/5/00,12.27104723,M
Booklet1-093,512yoC,NA,0,8/10/12,4/4/03,9.352498289,M
Booklet1-094,512yoC,NA,0,8/10/12,9/27/02,9.869952088,F
Booklet1-095,512yoC,NA,0,8/23/12,5/7/02,10.29705681,M
Booklet1-096,512yoC,NA,0,9/29/12,5/8/00,12.39425051,M
Booklet1-097,512yoC,NA,0,9/30/12,5/14/00,12.38056126,M
Booklet1-098,512yoC,NA,0,12/2/12,10/30/04,8.090349076,M
Booklet1-099,512yoC,NA,0,2/16/10,1/22/99,11.06913073,M
Booklet1-100,512yoC,NA,0,8/24/09,2/22/01,8.501026694,M
Booklet1-101,512yoC,NA,0,11/14/09,11/14/02,7.000684463,F
Booklet1-102,512yoC,NA,0,11/14/09,3/16/04,5.664613279,F
Booklet1-103,512yoC,NA,0,10/24/09,1/13/99,10.77891855,M
Booklet1-104,512yoC,NA,0,10/24/09,3/6/04,5.63449692,M
Booklet1-105,512yoC,NA,0,12/5/09,8/9/04,5.32238193,M
Booklet1-106,512yoC,Booklet2-049,0,1/25/10,6/11/01,8.624229979,F
Booklet1-107,512yoC,NA,0,12/5/09,12/27/98,10.94045175,F
Booklet1-108,512yoC,Booklet2-050,0,1/25/10,11/16/00,9.190965092,F
Booklet1-109,512yoC,NA,0,1/16/10,6/26/02,7.559206023,F
Booklet1-110,512yoC,Booklet2-051,0,3/20/10,3/16/03,7.011635866,F
Booklet1-111,512yoC,NA,0,1/23/10,3/24/03,6.836413415,M
Booklet1-112,512yoC,NA,0,1/23/10,5/12/00,9.700205339,M
Booklet1-113,512yoC,NA,0,2/13/10,2/12/04,6.004106776,M
Booklet1-114,512yoC,NA,0,2/13/10,1/22/01,9.059548255,M
Booklet1-115,512yoC,NA,0,3/20/10,4/24/00,9.902806297,M
Booklet1-116,512yoC,NA,0,4/24/10,11/2/00,9.472963723,F
Booklet1-117,512yoC,NA,0,3/16/10,4/8/03,6.937713895,M
Booklet1-118,512yoC,NA,0,3/16/10,2/19/00,10.0698152,M
Booklet1-119,512yoC,NA,0,5/8/10,10/10/00,9.574264203,M
Booklet1-120,512yoC,NA,0,4/10/10,11/5/03,6.428473648,M
Booklet1-121,512yoC,NA,0,4/25/14,1/29/04,10.23682409,M
Booklet1-122,512yoC,NA,0,5/8/10,3/29/04,6.108145106,M
Booklet1-123,512yoC,NA,0,6/29/11,3/31/01,10.24503765,M
Booklet1-124,512yoC,NA,0,7/25/10,7/30/01,8.985626283,F
Booklet1-125,512yoC,NA,0,8/7/10,9/18/04,5.883641342,F
Booklet1-126,512yoC,NA,0,6/12/10,7/26/99,10.88021903,M
Booklet1-127,512yoC,NA,0,9/25/10,3/10/04,6.543463381,M
Booklet1-128,512yoC,NA,0,7/3/10,4/25/00,10.18754278,M
Booklet1-129,512yoC,NA,0,7/3/10,4/25/00,10.18754278,M
Booklet1-130,512yoC,NA,0,1/7/11,12/28/04,6.026009582,M
Booklet1-131,512yoC,NA,0,1/7/11,9/8/02,8.331279945,M
Booklet1-132,512yoC,NA,0,9/18/10,10/15/04,5.924709103,M
Booklet1-133,512yoC,NA,0,10/2/10,7/26/00,10.18480493,M
Booklet1-134,512yoC,NA,0,7/25/10,6/11/02,8.120465435,M
Booklet1-135,512yoC,NA,0,7/31/10,4/8/05,5.311430527,M
Booklet1-136,512yoC,NA,0,7/31/10,6/13/03,7.1321013,M
Booklet1-137,512yoC,NA,0,8/22/09,8/4/02,7.049965777,M
Booklet1-138,512yoC,NA,0,8/3/10,6/18/05,5.125256674,M
Booklet1-139,512yoC,NA,0,8/7/10,5/3/01,9.262149213,M
Booklet1-140,512yoC,Booklet2-052,0,9/25/10,2/22/02,8.588637919,M
Booklet1-141,512yoC,Booklet2-053,0,7/20/11,8/17/05,5.921971253,M
Booklet1-142,512yoC,Booklet2-054,0,11/21/10,9/28/01,9.14715948,M
Booklet1-143,512yoC,Booklet2-055,0,11/22/10,5/28/02,8.48733744,M
Booklet1-144,512yoC,Booklet2-056,0,10/3/10,1/28/02,8.678986995,M
Booklet1-145,512yoC,Booklet2-057,0,11/7/09,9/26/03,6.116358658,M
Booklet1-146,512yoC,Booklet2-058,0,10/5/10,1/31/02,8.676249144,M
Booklet1-147,512yoC,Booklet2-059,0,11/15/10,11/14/03,7.003422313,M
Booklet1-148,512yoC,Booklet2-060,0,11/15/10,2/17/00,10.74332649,M
Booklet1-149,512yoC,Booklet2-061,0,11/15/10,12/14/01,8.919917864,M
Booklet1-150,512yoC,NA,0,12/11/10,7/25/05,5.379876797,M
Booklet1-151,512yoC,NA,0,1/8/11,6/3/01,9.59890486,M
Booklet1-152,512yoC,NA,0,12/11/10,4/30/04,6.614647502,M
Booklet1-153,512yoC,NA,0,7/28/11,1/23/05,6.507871321,M
Booklet1-154,512yoC,NA,0,11/22/10,12/28/99,10.90212183,F
Booklet1-155,512yoC,NA,0,1/22/11,9/25/02,8.325804244,M
Booklet1-156,512yoC,NA,0,1/9/11,10/5/03,7.263518138,M
Booklet1-157,512yoC,Booklet2-062,0,12/12/10,1/13/02,8.911704312,M
Booklet1-158,512yoC,NA,0,12/12/10,10/21/01,9.141683778,M
Booklet1-159,512yoC,NA,0,2/27/11,11/20/02,8.271047228,F
Booklet1-160,512yoC,NA,0,2/26/11,9/29/03,7.411362081,F
Booklet1-161,512yoC,NA,0,5/7/11,5/15/00,10.97604381,M
Booklet1-162,512yoC,NA,0,2/4/11,7/31/01,9.514031485,M
Booklet1-163,512yoC,Booklet2-063,0,2/27/11,5/28/01,9.752224504,M
Booklet1-164,512yoC,NA,0,9/19/09,2/9/04,5.609856263,M
Booklet1-165,5yoL,NA,1,3/7/15,9/29/09,5.434633812,F
Booklet1-166,5yoL,NA,1,3/9/15,5/18/09,5.80698152,M
Booklet1-167,5yoL,Booklet2-064,1,3/28/15,4/1/09,5.987679671,M
Booklet1-168,5yoL,Booklet2-065,1,3/28/15,4/1/09,5.987679671,M
Booklet1-169,5yoL,Booklet2-066,1,3/29/15,11/7/09,5.388090349,F
Booklet1-170,5yoL,Booklet2-067,1,4/11/15,10/2/09,5.522245038,M
Booklet1-171,5yoL,Booklet2-068,1,4/11/15,9/21/09,5.552361396,F
Booklet1-172,5yoL,NA,1,4/22/15,12/20/09,5.336071184,M
Booklet1-173,5yoL,Booklet2-069,1,6/5/15,11/21/09,5.535934292,M
Booklet1-174,5yoL,NA,1,6/8/15,2/23/10,5.28678987,M
Booklet1-175,5yoL,Booklet2-070,1,6/13/15,12/17/09,5.486652977,M
Booklet1-176,5yoL,Booklet2-071,1,7/3/15,6/30/10,5.00752909,F
Booklet1-177,5yoL,Booklet2-072,1,7/18/15,10/1/09,5.793292266,M
Booklet1-178,5yoL,Booklet2-073,1,7/29/15,10/24/09,5.760438056,M
Booklet1-179,5yoL,Booklet2-074,1,8/21/15,6/17/10,5.177275838,M
Booklet1-180,5yoL,Booklet2-075,1,9/6/15,9/18/09,5.965776865,F
Booklet1-181,5yoL,Booklet2-076,1,9/27/15,4/7/10,5.472963723,F
Booklet1-182,5yoL,Booklet2-077,1,9/28/15,10/2/09,5.987679671,M
Booklet1-183,5yoL,Booklet2-078,1,10/2/15,7/10/10,5.229295003,M
Booklet1-184,5yoL,NA,1,10/20/15,11/14/09,5.930184805,M
Booklet1-185,5yoL,Booklet2-079,1,10/29/15,7/6/10,5.314168378,F
